timestamp,label,response_time_ms,status,thread,bytes_sent,bytes_received,throughput_rps,cpu_usage_pct,memory_usage_mb
2025-09-19 12:00:00,PUT /api/login,111,200,4,647,1173,150.3,35.2,230.5
2025-09-19 12:00:01,POST /api/orders,35,201,9,682,2229,175.8,20.1,310.4
2025-09-19 12:00:02,GET /api/products,90,200,3,1200,800,120.4,25.3,400.2
2025-09-19 12:00:03,DELETE /api/cart,80,204,7,1024,2048,110.2,30.5,150.3
2025-09-19 12:00:04,PATCH /api/user,50,202,2,850,900,130.0,18.0,200.5
2025-09-19 12:00:05,PUT /api/login,45,200,5,700,1200,140.5,22.5,250.0
2025-09-19 12:00:06,POST /api/orders,100,201,6,600,1800,160.2,28.0,300.5
2025-09-19 12:00:07,GET /api/products,60,200,3,900,1100,125.5,30.2,350.4
2025-09-19 12:00:08,DELETE /api/cart,70,200,8,950,1500,135.0,33.1,200.3
2025-09-19 12:00:09,PATCH /api/user,55,202,4,800,900,145.2,25.0,210.0
2025-09-19 12:00:10,PUT /api/login,120,403,5,650,1100,45.0,75.0,800.0
2025-09-19 12:00:11,POST /api/orders,350,500,9,900,2200,20.2,85.0,950.2
2025-09-19 12:00:12,GET /api/products,400,401,2,700,1000,30.5,90.1,1100.5
2025-09-19 12:00:13,DELETE /api/cart,450,403,7,1200,2100,25.0,88.0,1050.0
2025-09-19 12:00:14,PATCH /api/user,380,500,3,850,950,15.5,92.0,980.0
2025-09-19 12:00:15,PUT /api/login,35,200,4,600,1150,155.0,28.0,210.0
2025-09-19 12:00:16,POST /api/orders,75,201,8,700,1800,140.0,22.5,260.0
2025-09-19 12:00:17,GET /api/products,95,200,3,900,1100,120.0,30.0,350.0
2025-09-19 12:00:18,DELETE /api/cart,60,204,6,950,1450,130.0,33.0,210.0
2025-09-19 12:00:19,PATCH /api/user,85,202,2,800,900,125.0,20.0,200.0
2025-09-19 12:00:20,PUT /api/login,110,200,5,670,1120,150.0,35.0,230.0
2025-09-19 12:00:21,POST /api/orders,40,201,9,680,2250,160.0,18.0,320.0
2025-09-19 12:00:22,GET /api/products,90,200,3,920,1100,125.0,25.0,360.0
2025-09-19 12:00:23,DELETE /api/cart,55,200,7,980,1500,135.0,30.0,200.0
2025-09-19 12:00:24,PATCH /api/user,50,202,4,800,900,140.0,25.0,210.0
2025-09-19 12:00:25,PUT /api/login,120,403,5,650,1150,40.0,78.0,820.0
2025-09-19 12:00:26,POST /api/orders,380,500,9,880,2200,22.0,88.0,970.0
2025-09-19 12:00:27,GET /api/products,420,401,2,700,1050,28.0,90.0,1120.0
2025-09-19 12:00:28,DELETE /api/cart,450,403,7,1250,2100,25.0,85.0,1080.0
2025-09-19 12:00:29,PATCH /api/user,390,500,3,860,950,18.0,92.0,980.0
2025-09-19 12:00:30,PUT /api/login,38,200,4,640,1180,155.0,28.0,220.0
2025-09-19 12:00:31,POST /api/orders,70,201,8,710,1850,140.0,22.0,265.0
2025-09-19 12:00:32,GET /api/products,85,200,3,910,1100,125.0,29.0,355.0
2025-09-19 12:00:33,DELETE /api/cart,60,204,6,960,1450,130.0,32.0,205.0
2025-09-19 12:00:34,PATCH /api/user,80,202,2,810,910,120.0,20.0,215.0
2025-09-19 12:00:35,PUT /api/login,125,403,5,660,1140,38.0,80.0,830.0
2025-09-19 12:00:36,POST /api/orders,400,500,9,890,2220,20.0,87.0,960.0
2025-09-19 12:00:37,GET /api/products,430,401,2,710,1060,28.0,91.0,1110.0
2025-09-19 12:00:38,DELETE /api/cart,460,403,7,1280,2120,25.0,86.0,1085.0
2025-09-19 12:00:39,PATCH /api/user,395,500,3,865,960,18.0,93.0,995.0
2025-09-19 12:00:40,PUT /api/login,42,200,4,645,1175,150.0,27.0,225.0
2025-09-19 12:00:41,POST /api/orders,68,201,8,705,1820,140.0,23.0,270.0
2025-09-19 12:00:42,GET /api/products,88,200,3,915,1095,125.0,30.0,360.0
2025-09-19 12:00:43,DELETE /api/cart,58,204,6,965,1470,130.0,32.0,205.0
2025-09-19 12:00:44,PATCH /api/user,82,202,2,820,915,120.0,20.0,215.0
2025-09-19 12:00:45,PUT /api/login,130,403,5,670,1160,35.0,82.0,850.0
2025-09-19 12:00:46,POST /api/orders,420,500,9,895,2230,18.0,89.0,970.0
2025-09-19 12:00:47,GET /api/products,440,401,2,715,1070,28.0,92.0,1125.0
2025-09-19 12:00:48,DELETE /api/cart,470,403,7,1290,2130,25.0,87.0,1090.0
2025-09-19 12:00:49,PATCH /api/user,398,500,3,870,965,18.0,94.0,995.0
